instances,datasets,random_numbers,solutions
san200-0-7-2,dimacs,1,3
frb45-21-2,bhoslib,2,2
san200-0-9-3,dimacs,3,2
c-fat500-1,dimacs,4,32
frb35-17-1,bhoslib,5,4
san200-0-9-1,dimacs,6,2
p-hat300-2,dimacs,7,5
p-hat1500-3,dimacs,8,4
frb40-19-1,bhoslib,9,3
gen400-p0-9-75,dimacs,10,2
frb45-21-2,bhoslib,11,2
C250-9,dimacs,12,2
frb35-17-3,bhoslib,13,3
brock200-2,dimacs,14,5
frb35-17-4,bhoslib,15,3
frb45-21-2,bhoslib,16,2
frb45-21-1,bhoslib,17,3
brock400-4,dimacs,18,3
DSJC1000-5,dimacs,19,6
MANN-a27,dimacs,20,2
frb45-21-2,bhoslib,21,2
MANN-a81,dimacs,22,2
san400-0-7-2,dimacs,23,4
frb30-15-3,bhoslib,24,3
frb59-26-2,bhoslib,25,3
MANN-a81,dimacs,26,2
C125-9,dimacs,27,2
p-hat300-1,dimacs,28,8
p-hat1500-3,dimacs,29,4
san200-0-9-2,dimacs,30,2
p-hat1500-1,dimacs,31,14
gen400-p0-9-75,dimacs,32,2
frb45-21-3,bhoslib,33,4
gen200-p0-9-55,dimacs,34,2
san1000,dimacs,35,15
brock200-4,dimacs,36,3
hamming10-4,dimacs,37,8
frb40-19-3,bhoslib,38,3
frb50-23-5,bhoslib,39,3
frb45-21-4,bhoslib,40,3
keller6,dimacs,41,4
c-fat500-2,dimacs,42,15
san400-0-7-2,dimacs,43,4
c-fat500-5,dimacs,44,6
frb30-15-2,bhoslib,45,3
hamming10-4,dimacs,46,8
brock400-4,dimacs,47,3
hamming8-4,dimacs,48,8
frb50-23-2,bhoslib,49,4
p-hat1500-3,dimacs,50,4
brock200-2,dimacs,51,5
frb45-21-4,bhoslib,52,3
frb50-23-5,bhoslib,53,3
johnson8-2-4,dimacs,54,3
frb40-19-3,bhoslib,55,3
brock200-4,dimacs,56,3
C2000-9,dimacs,57,3
frb50-23-5,bhoslib,58,3
gen400-p0-9-65,dimacs,59,2
keller5,dimacs,60,4
frb40-19-3,bhoslib,61,3
brock800-2,dimacs,62,4
san400-0-7-3,dimacs,63,4
frb100-40,bhoslib,64,3
C250-9,dimacs,65,2
C2000-5,dimacs,66,7
hamming6-4,dimacs,67,8
C2000-5,dimacs,68,8
c-fat200-5,dimacs,69,3
c-fat200-2,dimacs,70,7
hamming10-4,dimacs,71,8
DSJC1000-5,dimacs,72,6
c-fat200-1,dimacs,73,15
brock400-2,dimacs,74,3
brock200-2,dimacs,75,5
p-hat300-3,dimacs,76,3
hamming6-2,dimacs,77,2
san400-0-5-1,dimacs,78,8
MANN-a45,dimacs,79,2
hamming6-2,dimacs,80,2
frb35-17-4,bhoslib,81,3
frb40-19-5,bhoslib,82,3
c-fat500-2,dimacs,83,16
frb40-19-1,bhoslib,84,3
frb53-24-2,bhoslib,85,3
brock800-4,dimacs,86,4
p-hat1500-3,dimacs,87,4
brock800-4,dimacs,88,4
frb35-17-4,bhoslib,89,3
c-fat500-5,dimacs,90,7
C250-9,dimacs,91,2
brock400-4,dimacs,92,3
hamming6-4,dimacs,93,8
brock800-4,dimacs,94,4
DSJC1000-5,dimacs,95,6
frb40-19-5,bhoslib,96,3
san400-0-7-1,dimacs,97,3
frb35-17-2,bhoslib,98,3
gen200-p0-9-55,dimacs,99,2
p-hat300-3,dimacs,100,3
san400-0-5-1,dimacs,101,8
hamming10-4,dimacs,102,8
frb50-23-2,bhoslib,103,4
C125-9,dimacs,104,2
p-hat300-2,dimacs,105,5
san200-0-9-3,dimacs,106,2
johnson32-2-4,dimacs,107,3
frb45-21-4,bhoslib,108,3
frb100-40,bhoslib,109,3
frb45-21-1,bhoslib,110,3
p-hat700-2,dimacs,111,5
frb40-19-3,bhoslib,112,3
p-hat700-2,dimacs,113,5
p-hat1500-2,dimacs,114,10
p-hat1500-1,dimacs,115,14
gen400-p0-9-55,dimacs,116,2
gen200-p0-9-44,dimacs,117,2
frb40-19-4,bhoslib,118,3
MANN-a81,dimacs,119,2
p-hat300-1,dimacs,120,8
frb40-19-2,bhoslib,121,3
c-fat200-2,dimacs,122,7
frb30-15-4,bhoslib,123,3
frb100-40,bhoslib,124,3
c-fat200-2,dimacs,125,6
san200-0-9-1,dimacs,126,2
frb59-26-5,bhoslib,127,3
frb53-24-2,bhoslib,128,3
MANN-a27,dimacs,129,2
p-hat1500-2,dimacs,130,9
gen400-p0-9-75,dimacs,131,2
frb59-26-3,bhoslib,132,3
gen400-p0-9-55,dimacs,133,2
p-hat1500-1,dimacs,134,13
MANN-a81,dimacs,135,2
frb35-17-5,bhoslib,136,3
C1000-9,dimacs,137,3
frb50-23-1,bhoslib,138,3
frb35-17-4,bhoslib,139,3
san200-0-7-2,dimacs,140,3
p-hat700-2,dimacs,141,5
p-hat300-3,dimacs,142,3
frb35-17-3,bhoslib,143,3
p-hat1500-3,dimacs,144,4
frb59-26-2,bhoslib,145,3
frb59-26-1,bhoslib,146,4
hamming8-2,dimacs,147,2
johnson8-2-4,dimacs,148,3
frb59-26-2,bhoslib,149,3
frb30-15-4,bhoslib,150,3
frb30-15-4,bhoslib,151,3
san200-0-9-2,dimacs,152,2
frb40-19-5,bhoslib,153,3
brock400-2,dimacs,154,3
san200-0-9-3,dimacs,155,2
C1000-9,dimacs,156,3
hamming8-4,dimacs,157,8
gen200-p0-9-55,dimacs,158,2
frb30-15-2,bhoslib,159,3
frb35-17-3,bhoslib,160,3
p-hat1500-2,dimacs,161,10
keller6,dimacs,162,4
frb40-19-3,bhoslib,163,3
C125-9,dimacs,164,2
san200-0-7-1,dimacs,165,2
brock200-4,dimacs,166,3
frb53-24-4,bhoslib,167,3
johnson16-2-4,dimacs,168,3
hamming6-4,dimacs,169,8
DSJC500-5,dimacs,170,5
san400-0-7-1,dimacs,171,3
C500-9,dimacs,172,2
p-hat300-1,dimacs,173,9
c-fat500-1,dimacs,174,32
brock800-2,dimacs,175,4
DSJC500-5,dimacs,176,6
frb35-17-4,bhoslib,177,3
keller4,dimacs,178,4
MANN-a27,dimacs,179,2
C500-9,dimacs,180,2
frb50-23-1,bhoslib,181,3
MANN-a27,dimacs,182,2
san200-0-7-1,dimacs,183,3
C2000-9,dimacs,184,3
frb35-17-1,bhoslib,185,4
frb35-17-1,bhoslib,186,4
frb40-19-5,bhoslib,187,3
frb50-23-1,bhoslib,188,3
frb40-19-2,bhoslib,189,3
frb45-21-1,bhoslib,190,3
keller6,dimacs,191,4
gen200-p0-9-55,dimacs,192,2
p-hat1500-2,dimacs,193,9
hamming6-2,dimacs,194,2
frb30-15-1,bhoslib,195,3
san400-0-7-3,dimacs,196,4
frb40-19-2,bhoslib,197,3
frb35-17-2,bhoslib,198,3
hamming6-2,dimacs,199,2
C250-9,dimacs,200,2
frb45-21-2,bhoslib,201,2
