instance,dataset,avg,method,lbs,ardp,log_ratio
C1000.9,dimacs,26.9,GRASP,2,1245,2.598979106047848
C1000.9,dimacs,27.5,MEMETIC,2,1275,2.6210388241125804
C1000.9,dimacs,25.5,drMIDS,2,1175,2.5455312716044354
C1000.9,dimacs,28,ILPS2,2,1300,2.6390573296152584
C1000.9,dimacs,27.8,ILPS3,2,1290,2.631888840136646
C1000.9,dimacs,26,MAE,2,1200,2.5649493574615367
C1000.9,dimacs,3,GREEDY,2,50,0.4054651081081644
C125.9,dimacs,15,GRASP,2,650,2.0149030205422647
C125.9,dimacs,14,MEMETIC,2,600,1.9459101490553132
C125.9,dimacs,14,drMIDS,2,600,1.9459101490553132
C125.9,dimacs,14,ILPS2,2,600,1.9459101490553132
C125.9,dimacs,14,ILPS3,2,600,1.9459101490553132
C125.9,dimacs,14,MAE,2,600,1.9459101490553132
C125.9,dimacs,2,GREEDY,2,0,0
C2000.5,dimacs,7,GRASP,2,250,1.252762968495368
C2000.5,dimacs,7,MEMETIC,2,250,1.252762968495368
C2000.5,dimacs,7,drMIDS,2,250,1.252762968495368
C2000.5,dimacs,7,ILPS2,2,250,1.252762968495368
C2000.5,dimacs,7,ILPS3,2,250,1.252762968495368
C2000.5,dimacs,7,MAE,2,250,1.252762968495368
C2000.5,dimacs,8.333333333333334,GREEDY,2,316.6666666666667,1.4271163556401458
C2000.9,dimacs,33.2,GRASP,2,1560.0000000000002,2.8094026953624978
C2000.9,dimacs,33.5,MEMETIC,2,1575,2.8183982582710754
C2000.9,dimacs,32,drMIDS,2,1500,2.772588722239781
C2000.9,dimacs,33.8,ILPS2,2,1589.9999999999998,2.8273136219290276
C2000.9,dimacs,34,ILPS3,2,1600,2.833213344056216
C2000.9,dimacs,31.7,MAE,2,1485,2.7631695003232895
C2000.9,dimacs,3,GREEDY,2,50,0.4054651081081644
C250.9,dimacs,17,GRASP,2,750,2.1400661634962708
C250.9,dimacs,17,MEMETIC,2,750,2.1400661634962708
C250.9,dimacs,17,drMIDS,2,750,2.1400661634962708
C250.9,dimacs,17,ILPS2,2,750,2.1400661634962708
C250.9,dimacs,17,ILPS3,2,750,2.1400661634962708
C250.9,dimacs,17,MAE,2,750,2.1400661634962708
C250.9,dimacs,2,GREEDY,2,0,0
C4000.5,dimacs,8,GRASP,2,300,1.3862943611198906
C4000.5,dimacs,8,MEMETIC,2,300,1.3862943611198906
C4000.5,dimacs,8,drMIDS,2,300,1.3862943611198906
C4000.5,dimacs,8,ILPS2,2,300,1.3862943611198906
C4000.5,dimacs,8,ILPS3,2,300,1.3862943611198906
C4000.5,dimacs,8,MAE,2,300,1.3862943611198906
C4000.5,dimacs,9.2,GREEDY,2,359.99999999999994,1.5260563034950492
C500.9,dimacs,23,GRASP,2,1050,2.4423470353692043
C500.9,dimacs,22,MEMETIC,2,1000,2.3978952727983707
C500.9,dimacs,21,drMIDS,2,950,2.3513752571634776
C500.9,dimacs,22.2,ILPS2,2,1010,2.4069451083182885
C500.9,dimacs,22.3,ILPS3,2,1015,2.411439497906128
C500.9,dimacs,21,MAE,2,950,2.3513752571634776
C500.9,dimacs,2,GREEDY,2,0,0
DSJC1000.5,dimacs,6,GRASP,2,200,1.0986122886681098
DSJC1000.5,dimacs,6,MEMETIC,2,200,1.0986122886681098
DSJC1000.5,dimacs,6,drMIDS,2,200,1.0986122886681098
DSJC1000.5,dimacs,6,ILPS2,2,200,1.0986122886681098
DSJC1000.5,dimacs,6,ILPS3,2,200,1.0986122886681098
DSJC1000.5,dimacs,6,MAE,2,200,1.0986122886681098
DSJC1000.5,dimacs,8,GREEDY,2,300,1.3862943611198906
DSJC500.5,dimacs,5,GRASP,2,150,0.9162907318741551
DSJC500.5,dimacs,5,MEMETIC,2,150,0.9162907318741551
DSJC500.5,dimacs,5,drMIDS,2,150,0.9162907318741551
DSJC500.5,dimacs,5,ILPS2,2,150,0.9162907318741551
DSJC500.5,dimacs,5,ILPS3,2,150,0.9162907318741551
DSJC500.5,dimacs,5,MAE,2,150,0.9162907318741551
DSJC500.5,dimacs,6.333333333333333,GREEDY,2,216.66666666666666,1.1526795099383853
MANN_a27,dimacs,27,GRASP,2,1250,2.6026896854443837
MANN_a27,dimacs,27,MEMETIC,2,1250,2.6026896854443837
MANN_a27,dimacs,27,drMIDS,2,1250,2.6026896854443837
MANN_a27,dimacs,27,ILPS2,2,1250,2.6026896854443837
MANN_a27,dimacs,27,ILPS3,2,1250,2.6026896854443837
MANN_a27,dimacs,27,MAE,2,1250,2.6026896854443837
MANN_a27,dimacs,2,GREEDY,2,0,0
MANN_a45,dimacs,45,GRASP,2,2150,3.1135153092103742
MANN_a45,dimacs,45,MEMETIC,2,2150,3.1135153092103742
MANN_a45,dimacs,45,drMIDS,2,2150,3.1135153092103742
