instances,datasets,random_numbers,solutions,iters,times
san200_0.7_2,dimacs,1,4,3,80.517102
frb45-21-1,bhoslib,2,4,3,1089.5481
san200_0.9_2,dimacs,3,2,2,63.462701
c-fat500-2,dimacs,4,17,17,58.224101
frb50-23-3,bhoslib,5,4,3,1561.792301
san200_0.7_2,dimacs,6,4,3,55.612901
p_hat300-1,dimacs,7,15,9,51.770801
p_hat1500-2,dimacs,8,11,9,1608.674601
frb35-17-4,bhoslib,9,4,3,454.3879
hamming10-4,dimacs,10,8,8,1176.160101
frb45-21-2,bhoslib,11,8,2,1040.057801
C250.9,dimacs,12,2,2,133.9278
frb35-17-1,bhoslib,13,4,4,463.772202
brock200_2,dimacs,14,5,5,45.478901
frb35-17-2,bhoslib,15,5,3,410.185801
frb45-21-2,bhoslib,16,8,2,1040.635601
frb40-19-5,bhoslib,17,4,3,667.158301
brock400_4,dimacs,18,4,3,174.692
DSJC500.5,dimacs,19,7,6,227.055401
keller5,dimacs,20,4,4,617.157601
frb45-21-2,bhoslib,21,8,2,1037.970401
MANN_a27,dimacs,22,2,2,243.942902
san400_0.7_2,dimacs,23,4,4,165.0161
frb40-19-5,bhoslib,24,6,3,668.416501
frb56-25-1,bhoslib,25,3,3,2400.179001
MANN_a27,dimacs,26,2,2,199.794601
C125.9,dimacs,27,2,2,35.011701
p_hat1500-3,dimacs,28,5,4,2304.442802
p_hat1500-2,dimacs,29,13,10,1555.454101
san200_0.9_2,dimacs,30,2,2,105.287901
MANN_a81,dimacs,31,2,2,15886.243802
hamming10-4,dimacs,32,8,8,1212.9085
frb45-21-3,bhoslib,33,5,3,1086.702
gen400_p0.9_55,dimacs,34,2,2,204.947301
p_hat700-3,dimacs,35,4,4,554.070602
brock200_4,dimacs,36,5,3,52.376501
hamming6-2,dimacs,37,2,2,21.828101
frb40-19-2,bhoslib,38,4,3,663.001801
frb59-26-5,bhoslib,39,4,3,2848.3587
frb45-21-4,bhoslib,40,4,3,1033.552701
keller4,dimacs,41,4,4,86.002101
c-fat500-2,dimacs,42,15,15,56.332102
san400_0.7_2,dimacs,43,4,4,165.207601
DSJC1000.5,dimacs,44,8,6,735.511601
frb30-15-3,bhoslib,45,4,3,236.382101
hamming6-2,dimacs,46,2,2,22.200001
brock800_2,dimacs,47,6,4,569.771201
MANN_a27,dimacs,48,2,2,200.925401
frb59-26-3,bhoslib,49,4,3,2884.176401
p_hat1500-2,dimacs,50,12,10,1595.762401
brock200_2,dimacs,51,5,5,45.333201
frb45-21-4,bhoslib,52,3,3,1036.556202
frb50-23-4,bhoslib,53,4,4,1603.680401
frb45-21-3,bhoslib,54,4,4,1038.6541
frb40-19-2,bhoslib,55,5,3,713.024902
brock200_4,dimacs,56,5,3,52.096901
C250.9,dimacs,57,2,2,89.510602
frb50-23-4,bhoslib,58,4,4,1559.253601
gen400_p0.9_75,dimacs,59,2,2,203.900601
johnson8-2-4,dimacs,60,3,3,17.675901
frb40-19-1,bhoslib,61,4,3,669.080201
brock800_4,dimacs,62,5,4,613.1701
san400_0.7_3,dimacs,63,6,4,164.882301
frb59-26-5,bhoslib,64,4,3,2892.4226
C250.9,dimacs,65,2,2,89.910601
C2000.9,dimacs,66,3,3,5110.759101
hamming8-2,dimacs,67,2,2,98.693401
C2000.5,dimacs,68,8,8,2919.111801
c-fat500-1,dimacs,69,32,32,68.8875
c-fat200-5,dimacs,70,3,3,40.559101
hamming6-2,dimacs,71,2,2,21.824801
DSJC500.5,dimacs,72,6,5,186.998201
c-fat200-2,dimacs,73,7,7,30.177802
brock400_2,dimacs,74,4,3,174.2944
brock200_2,dimacs,75,5,5,45.970601
p_hat300-2,dimacs,76,9,6,77.389701
hamming6-4,dimacs,77,8,8,24.224702
san400_0.5_1,dimacs,78,13,9,133.057901
keller6,dimacs,79,4,4,13355.383401
hamming6-4,dimacs,80,8,8,24.1661
frb35-17-2,bhoslib,81,5,3,409.943401
frb40-19-4,bhoslib,82,5,3,712.274801
c-fat500-5,dimacs,83,6,6,127.842701
frb35-17-4,bhoslib,84,4,3,467.015502
frb53-24-1,bhoslib,85,4,3,1896.379002
brock800_4,dimacs,86,6,4,619.698502
p_hat1500-2,dimacs,87,11,9,1598.132301
brock800_4,dimacs,88,6,4,568.3768
frb53-24-3,bhoslib,89,4,3,1911.613301
DSJC1000.5,dimacs,90,8,6,686.704801
C250.9,dimacs,91,2,2,89.328501
brock400_4,dimacs,92,4,3,173.575901
hamming8-2,dimacs,93,2,2,98.584601
brock800_4,dimacs,94,5,4,614.832101
DSJC500.5,dimacs,95,7,5,185.2907
frb40-19-5,bhoslib,96,6,3,711.852801
san400_0.7_1,dimacs,97,4,3,206.1943
frb35-17-1,bhoslib,98,4,4,412.221301
gen400_p0.9_55,dimacs,99,2,2,205.604601
p_hat300-2,dimacs,100,10,5,118.846901
san400_0.5_1,dimacs,101,14,8,169.640101
hamming6-2,dimacs,102,2,2,21.678402
frb53-24-1,bhoslib,103,4,3,1952.610002
C2000.5,dimacs,104,8,8,2814.086701
p_hat300-1,dimacs,105,14,10,53.4626
san200_0.9_3,dimacs,106,2,2,63.025101
johnson32-2-4,dimacs,107,3,3,299.9878
frb45-21-4,bhoslib,108,3,3,1035.889401
frb56-25-3,bhoslib,109,4,4,2395.436301
frb40-19-5,bhoslib,110,4,3,664.0753
p_hat700-2,dimacs,111,13,5,341.143602
frb40-19-2,bhoslib,112,4,3,667.867802
p_hat700-1,dimacs,113,15,11,239.749401
p_hat1500-1,dimacs,114,21,13,797.920201
MANN_a81,dimacs,115,2,2,15592.578902
gen400_p0.9_65,dimacs,116,2,2,248.514101
gen200_p0.9_55,dimacs,117,2,2,62.9608
frb40-19-2,bhoslib,118,5,3,667.7894
MANN_a27,dimacs,119,2,2,201.288501
p_hat1500-2,dimacs,120,13,9,1593.748101
frb40-19-1,bhoslib,121,4,3,668.517001
c-fat200-5,dimacs,122,3,3,40.891601
frb53-24-5,bhoslib,123,4,3,1912.2943
frb59-26-3,bhoslib,124,4,3,2851.628702
c-fat200-5,dimacs,125,3,3,40.79
san200_0.9_1,dimacs,126,2,2,63.560601
frb56-25-2,bhoslib,127,5,3,2365.4969
frb53-24-1,bhoslib,128,4,3,1958.495601
keller5,dimacs,129,4,4,615.496101
p_hat1500-1,dimacs,130,19,14,806.613201
hamming10-4,dimacs,131,8,8,1174.011401
frb56-25-2,bhoslib,132,5,4,2344.1037
gen400_p0.9_65,dimacs,133,2,2,247.879801
MANN_a9,dimacs,134,2,2,19.713501
MANN_a45,dimacs,135,2,2,1498.241402
frb35-17-3,bhoslib,136,3,3,413.700801
C1000.9,dimacs,137,3,3,1221.210901
frb50-23-1,bhoslib,138,7,3,1609.883102
frb50-23-4,bhoslib,139,4,4,1559.7437
san200_0.7_2,dimacs,140,4,3,96.977102
p_hat700-1,dimacs,141,19,14,240.092501
p_hat300-2,dimacs,142,10,5,76.499401
frb35-17-2,bhoslib,143,5,3,410.243201
p_hat1500-2,dimacs,144,13,9,1610.611601
frb59-26-1,bhoslib,145,4,4,3051.4538
frb56-25-2,bhoslib,146,5,3,2413.756401
frb35-17-2,bhoslib,147,5,3,457.130101
frb35-17-5,bhoslib,148,5,3,412.589902
frb56-25-1,bhoslib,149,4,4,2368.248301
frb30-15-4,bhoslib,150,3,3,280.096801
frb53-24-2,bhoslib,151,4,3,1916.8948
san200_0.9_1,dimacs,152,2,2,63.2969
frb40-19-5,bhoslib,153,4,3,666.115401
brock400_2,dimacs,154,4,3,183.83
san200_0.9_3,dimacs,155,2,2,104.934101
C1000.9,dimacs,156,3,3,1255.640601
hamming8-4,dimacs,157,8,8,119.021501
gen400_p0.9_55,dimacs,158,2,2,257.900901
frb30-15-2,bhoslib,159,3,3,235.482301
frb35-17-1,bhoslib,160,4,4,410.066202
MANN_a9,dimacs,161,2,2,19.198201
keller4,dimacs,162,4,4,44.432501
frb40-19-1,bhoslib,163,4,3,664.833701
C125.9,dimacs,164,2,2,35.428902
san1000,dimacs,165,24,17,696.095001
brock200_4,dimacs,166,4,3,51.9907
frb56-25-1,bhoslib,167,4,4,2378.343301
frb59-26-4,bhoslib,168,5,3,2908.275501
hamming8-2,dimacs,169,2,2,98.647201
DSJC500.5,dimacs,170,6,6,189.576301
san400_0.7_1,dimacs,171,4,3,173.633802
C500.9,dimacs,172,2,2,357.940201
p_hat1500-3,dimacs,173,5,4,2335.108602
c-fat500-1,dimacs,174,32,32,59.039101
brock800_2,dimacs,175,6,4,573.684201
gen200_p0.9_44,dimacs,176,2,2,64.513201
frb35-17-2,bhoslib,177,5,3,410.471801
johnson8-2-4,dimacs,178,3,3,18.561102
keller5,dimacs,179,4,4,613.625902
C500.9,dimacs,180,2,2,311.621401
frb50-23-1,bhoslib,181,7,3,1570.694001
keller5,dimacs,182,4,4,659.579301
san200_0.7_1,dimacs,183,4,3,54.835601
C250.9,dimacs,184,2,2,89.622002
frb30-15-5,bhoslib,185,5,2,277.451501
frb30-15-5,bhoslib,186,5,2,234.901101
frb40-19-5,bhoslib,187,4,3,713.344701
