name;url;BKAV
frb30-15-1;https://nrvis.com/download/data/bhoslib/frb30-15-1.zip;11
frb30-15-2;https://nrvis.com/download/data/bhoslib/frb30-15-2.zip;11
frb30-15-3;https://nrvis.com/download/data/bhoslib/frb30-15-3.zip;11
frb30-15-4;https://nrvis.com/download/data/bhoslib/frb30-15-4.zip;11
frb30-15-5;https://nrvis.com/download/data/bhoslib/frb30-15-5.zip;11
frb35-17-1;https://nrvis.com/download/data/bhoslib/frb35-17-1.zip;13
frb35-17-2;https://nrvis.com/download/data/bhoslib/frb35-17-2.zip;13
frb35-17-3;https://nrvis.com/download/data/bhoslib/frb35-17-3.zip;13
frb35-17-4;https://nrvis.com/download/data/bhoslib/frb35-17-4.zip;13.3
frb35-17-5;https://nrvis.com/download/data/bhoslib/frb35-17-5.zip;13.4
frb40-19-1;https://nrvis.com/download/data/bhoslib/frb40-19-1.zip;15
frb40-19-2;https://nrvis.com/download/data/bhoslib/frb40-19-2.zip;15
frb40-19-3;https://nrvis.com/download/data/bhoslib/frb40-19-3.zip;15
frb40-19-4;https://nrvis.com/download/data/bhoslib/frb40-19-4.zip;15
frb40-19-5;https://nrvis.com/download/data/bhoslib/frb40-19-5.zip;15
frb45-21-1;https://nrvis.com/download/data/bhoslib/frb45-21-1.zip;17.5
frb45-21-2;https://nrvis.com/download/data/bhoslib/frb45-21-2.zip;17.6
frb45-21-3;https://nrvis.com/download/data/bhoslib/frb45-21-3.zip;17
frb45-21-4;https://nrvis.com/download/data/bhoslib/frb45-21-4.zip;17.1
frb45-21-5;https://nrvis.com/download/data/bhoslib/frb45-21-5.zip;17
frb50-23-1;https://nrvis.com/download/data/bhoslib/frb50-23-1.zip;19.5
frb50-23-2;https://nrvis.com/download/data/bhoslib/frb50-23-2.zip;19.8
frb50-23-3;https://nrvis.com/download/data/bhoslib/frb50-23-3.zip;19.6
frb50-23-4;https://nrvis.com/download/data/bhoslib/frb50-23-4.zip;19.8
frb50-23-5;https://nrvis.com/download/data/bhoslib/frb50-23-5.zip;19.7
frb53-24-1;https://nrvis.com/download/data/bhoslib/frb53-24-1.zip;20.8
frb53-24-2;https://nrvis.com/download/data/bhoslib/frb53-24-2.zip;21
frb53-24-3;https://nrvis.com/download/data/bhoslib/frb53-24-3.zip;20.7
frb53-24-4;https://nrvis.com/download/data/bhoslib/frb53-24-4.zip;20.4
frb53-24-5;https://nrvis.com/download/data/bhoslib/frb53-24-5.zip;20.9
frb59-26-1;https://nrvis.com/download/data/bhoslib/frb59-26-1.zip;23
frb59-26-2;https://nrvis.com/download/data/bhoslib/frb59-26-2.zip;23.2
frb59-26-3;https://nrvis.com/download/data/bhoslib/frb59-26-3.zip;23.8
frb59-26-4;https://nrvis.com/download/data/bhoslib/frb59-26-4.zip;23.6
frb59-26-5;https://nrvis.com/download/data/bhoslib/frb59-26-5.zip;23.8
frb100-40;https://nrvis.com/download/data/bhoslib/frb100-40.zip;43.4
