name;url;BKAV
brock200-2;https://nrvis.com/download/data/dimacs/brock200-2.zip;4
brock200-4;https://nrvis.com/download/data/dimacs/brock200-4.zip;6
brock400-2;https://nrvis.com/download/data/dimacs/brock400-2.zip;9
brock400-4;https://nrvis.com/download/data/dimacs/brock400-4.zip;9
brock800-2;https://nrvis.com/download/data/dimacs/brock800-2.zip;8
brock800-4;https://nrvis.com/download/data/dimacs/brock800-4.zip;8
C1000-9;https://nrvis.com/download/data/dimacs/C1000-9.zip;26
C125-9;https://nrvis.com/download/data/dimacs/C125-9.zip;14
C2000-5;https://nrvis.com/download/data/dimacs/C2000-5.zip;7
C2000-9;https://nrvis.com/download/data/dimacs/C2000-9.zip;31.7
C250-9;https://nrvis.com/download/data/dimacs/C250-9.zip;17
C4000-5;https://nrvis.com/download/data/dimacs/C4000-5.zip;8
C500-9;https://nrvis.com/download/data/dimacs/C500-9.zip;21
c-fat200-1;https://nrvis.com/download/data/dimacs/c-fat200-1.zip;13
c-fat200-2;https://nrvis.com/download/data/dimacs/c-fat200-2.zip;6
c-fat200-5;https://nrvis.com/download/data/dimacs/c-fat200-5.zip;3
c-fat500-1;https://nrvis.com/download/data/dimacs/c-fat500-1.zip;27
c-fat500-2;https://nrvis.com/download/data/dimacs/c-fat500-2.zip;14
c-fat500-5;https://nrvis.com/download/data/dimacs/c-fat500-5.zip;6
DSJC1000-5;https://nrvis.com/download/data/dimacs/DSJC1000-5.zip;6
DSJC500-5;https://nrvis.com/download/data/dimacs/DSJC500-5.zip;5
gen200-p0-9-44;https://nrvis.com/download/data/dimacs/gen200-p0-9-44.zip;16
gen200-p0-9-55;https://nrvis.com/download/data/dimacs/gen200-p0-9-55.zip;16
gen400-p0-9-55;https://nrvis.com/download/data/dimacs/gen400-p0-9-55.zip;20
gen400-p0-9-65;https://nrvis.com/download/data/dimacs/gen400-p0-9-65.zip;20
gen400-p0-9-75;https://nrvis.com/download/data/dimacs/gen400-p0-9-75.zip;20
hamming10-4;https://nrvis.com/download/data/dimacs/hamming10-4.zip;12
hamming6-2;https://nrvis.com/download/data/dimacs/hamming6-2.zip;12
hamming6-4;https://nrvis.com/download/data/dimacs/hamming6-4.zip;2
hamming8-2;https://nrvis.com/download/data/dimacs/hamming8-2.zip;32
hamming8-4;https://nrvis.com/download/data/dimacs/hamming8-4.zip;4
johnson16-2-4;https://nrvis.com/download/data/dimacs/johnson16-2-4.zip;8
johnson32-2-4;https://nrvis.com/download/data/dimacs/johnson32-2-4.zip;16
johnson8-2-4;https://nrvis.com/download/data/dimacs/johnson8-2-4.zip;4
johnson8-4-4;https://nrvis.com/download/data/dimacs/johnson8-4-4.zip;7
keller4;https://nrvis.com/download/data/dimacs/keller4.zip;5
keller5;https://nrvis.com/download/data/dimacs/keller5.zip;9
keller6;https://nrvis.com/download/data/dimacs/keller6.zip;15.1
MANN-a27;https://nrvis.com/download/data/dimacs/MANN-a27.zip;27
MANN-a45;https://nrvis.com/download/data/dimacs/MANN-a45.zip;45
MANN-a81;https://nrvis.com/download/data/dimacs/MANN-a81.zip;81
MANN-a9;https://nrvis.com/download/data/dimacs/MANN-a9.zip;9
p-hat1500-1;https://nrvis.com/download/data/dimacs/p-hat1500-1.zip;12.4
p-hat1500-2;https://nrvis.com/download/data/dimacs/p-hat1500-2.zip;7.2
p-hat1500-3;https://nrvis.com/download/data/dimacs/p-hat1500-3.zip;3
p-hat300-1;https://iridia.ulb.ac.be/~fmascia/files/DIMACS/p_hat300-1.clq;9
p-hat300-2;https://iridia.ulb.ac.be/~fmascia/files/DIMACS/p_hat300-2.clq;5
p-hat300-3;https://nrvis.com/download/data/dimacs/p-hat300-3.zip;3
p-hat700-1;https://nrvis.com/download/data/dimacs/p-hat700-1.zip;11
p-hat700-2;https://nrvis.com/download/data/dimacs/p-hat700-2.zip;6
p-hat700-3;https://nrvis.com/download/data/dimacs/p-hat700-3.zip;3
san1000;https://nrvis.com/download/data/dimacs/san1000.zip;4
san200-0-7-1;https://nrvis.com/download/data/dimacs/san200-0-7-1.zip;6
san200-0-7-2;https://nrvis.com/download/data/dimacs/san200-0-7-2.zip;6
san200-0-9-1;https://nrvis.com/download/data/dimacs/san200-0-9-1.zip;15
san200-0-9-2;https://nrvis.com/download/data/dimacs/san200-0-9-2.zip;16
san200-0-9-3;https://nrvis.com/download/data/dimacs/san200-0-9-3.zip;15
san400-0-5-1;https://nrvis.com/download/data/dimacs/san400-0-5-1.zip;4
san400-0-7-1;https://nrvis.com/download/data/dimacs/san400-0-7-1.zip;7
san400-0-7-2;https://nrvis.com/download/data/dimacs/san400-0-7-2.zip;7
san400-0-7-3;https://nrvis.com/download/data/dimacs/san400-0-7-3.zip;7
