instance,dataset,min,avg,method
brock200_2,dimacs,4,4,GRASP+PC
brock200_2,dimacs,4,4,MEMETIC
brock200_2,dimacs,4,4,drMIDS
brock200_2,dimacs,4,4,ILPS2
brock200_2,dimacs,4,4,ILPS3
brock200_2,dimacs,4,4,MAE-PB
brock200_4,dimacs,6,6.3,GRASP+PC
brock200_4,dimacs,6,6,MEMETIC
brock200_4,dimacs,6,6,drMIDS
brock200_4,dimacs,6,6,ILPS2
brock200_4,dimacs,6,6,ILPS3
brock200_4,dimacs,6,6,MAE-PB
brock400_2,dimacs,10,10,GRASP+PC
brock400_2,dimacs,9,9.3,MEMETIC
brock400_2,dimacs,9,9,drMIDS
brock400_2,dimacs,10,10,ILPS2
brock400_2,dimacs,9,10,ILPS3
brock400_2,dimacs,9,9,MAE-PB
brock400_4,dimacs,9,9.3,GRASP+PC
brock400_4,dimacs,9,9,MEMETIC
brock400_4,dimacs,9,9,drMIDS
brock400_4,dimacs,9,9.9,ILPS2
brock400_4,dimacs,9,10,ILPS3
brock400_4,dimacs,9,9,MAE-PB
brock800_2,dimacs,8,8.2,GRASP+PC
brock800_2,dimacs,8,8.1,MEMETIC
brock800_2,dimacs,8,8,drMIDS
brock800_2,dimacs,8,8.7,ILPS2
brock800_2,dimacs,8,8.9,ILPS3
brock800_2,dimacs,8,8,MAE-PB
brock800_4,dimacs,8,8.2,GRASP+PC
brock800_4,dimacs,8,8,MEMETIC
brock800_4,dimacs,8,8,drMIDS
brock800_4,dimacs,8,8.5,ILPS2
brock800_4,dimacs,8,8.8,ILPS3
brock800_4,dimacs,8,8,MAE-PB
C1000.9,dimacs,26,26.9,GRASP+PC
C1000.9,dimacs,26,27.5,MEMETIC
C1000.9,dimacs,25,25.5,drMIDS
C1000.9,dimacs,27,28,ILPS2
C1000.9,dimacs,27,27.8,ILPS3
C1000.9,dimacs,25,26,MAE-PB
C125.9,dimacs,15,15,GRASP+PC
C125.9,dimacs,14,14,MEMETIC
C125.9,dimacs,14,14,drMIDS
C125.9,dimacs,14,14,ILPS2
C125.9,dimacs,14,14,ILPS3
C125.9,dimacs,14,14,MAE-PB
C2000.5,dimacs,7,7,GRASP+PC
C2000.5,dimacs,7,7,MEMETIC
C2000.5,dimacs,7,7,drMIDS
C2000.5,dimacs,7,7,ILPS2
C2000.5,dimacs,7,7,ILPS3
C2000.5,dimacs,7,7,MAE-PB
C2000.9,dimacs,33,33.2,GRASP+PC
C2000.9,dimacs,33,33.5,MEMETIC
C2000.9,dimacs,32,32,drMIDS
C2000.9,dimacs,32,33.8,ILPS2
C2000.9,dimacs,32,34,ILPS3
C2000.9,dimacs,31,31.7,MAE-PB
C250.9,dimacs,17,17,GRASP+PC
C250.9,dimacs,17,17,MEMETIC
C250.9,dimacs,17,17,drMIDS
C250.9,dimacs,17,17,ILPS2
C250.9,dimacs,17,17,ILPS3
C250.9,dimacs,17,17,MAE-PB
C4000.5,dimacs,8,8,GRASP+PC
C4000.5,dimacs,8,8,MEMETIC
C4000.5,dimacs,8,8,drMIDS
C4000.5,dimacs,8,8,ILPS2
C4000.5,dimacs,8,8,ILPS3
C4000.5,dimacs,8,8,MAE-PB
C500.9,dimacs,23,23,GRASP+PC
C500.9,dimacs,22,22,MEMETIC
C500.9,dimacs,21,21,drMIDS
C500.9,dimacs,22,22.2,ILPS2
C500.9,dimacs,22,22.3,ILPS3
C500.9,dimacs,21,21,MAE-PB
c-fat200-1,dimacs,13,13,GRASP+PC
c-fat200-1,dimacs,13,13,MEMETIC
c-fat200-1,dimacs,13,13,drMIDS
c-fat200-1,dimacs,13,13,ILPS2
c-fat200-1,dimacs,13,13,ILPS3
c-fat200-1,dimacs,13,13,MAE-PB
c-fat200-2,dimacs,6,6,GRASP+PC
c-fat200-2,dimacs,6,6,MEMETIC
c-fat200-2,dimacs,6,6,drMIDS
c-fat200-2,dimacs,6,6,ILPS2
c-fat200-2,dimacs,6,6,ILPS3
c-fat200-2,dimacs,6,6,MAE-PB
c-fat200-5,dimacs,3,3,GRASP+PC
c-fat200-5,dimacs,3,3,MEMETIC
c-fat200-5,dimacs,3,3,drMIDS
c-fat200-5,dimacs,3,3,ILPS2
c-fat200-5,dimacs,3,3,ILPS3
c-fat200-5,dimacs,3,3,MAE-PB
c-fat500-1,dimacs,27,27,GRASP+PC
c-fat500-1,dimacs,27,27,MEMETIC
c-fat500-1,dimacs,27,27,drMIDS
c-fat500-1,dimacs,27,27,ILPS2
c-fat500-1,dimacs,27,27,ILPS3
c-fat500-1,dimacs,27,27,MAE-PB
c-fat500-2,dimacs,14,14,GRASP+PC
c-fat500-2,dimacs,14,14,MEMETIC
c-fat500-2,dimacs,14,14,drMIDS
c-fat500-2,dimacs,14,14,ILPS2
c-fat500-2,dimacs,14,14,ILPS3
c-fat500-2,dimacs,14,14,MAE-PB
c-fat500-5,dimacs,6,6,GRASP+PC
c-fat500-5,dimacs,6,6,MEMETIC
c-fat500-5,dimacs,6,6,drMIDS
c-fat500-5,dimacs,6,6,ILPS2
c-fat500-5,dimacs,6,6,ILPS3
c-fat500-5,dimacs,6,6,MAE-PB
DSJC1000.5,dimacs,6,6,GRASP+PC
DSJC1000.5,dimacs,6,6,MEMETIC
DSJC1000.5,dimacs,6,6,drMIDS
DSJC1000.5,dimacs,6,6,ILPS2
DSJC1000.5,dimacs,6,6,ILPS3
DSJC1000.5,dimacs,6,6,MAE-PB
DSJC500.5,dimacs,5,5,GRASP+PC
DSJC500.5,dimacs,5,5,MEMETIC
DSJC500.5,dimacs,5,5,drMIDS
DSJC500.5,dimacs,5,5,ILPS2
DSJC500.5,dimacs,5,5,ILPS3
DSJC500.5,dimacs,5,5,MAE-PB
gen200_p0.9_44,dimacs,16,16.1,GRASP+PC
gen200_p0.9_44,dimacs,16,16,MEMETIC
gen200_p0.9_44,dimacs,16,16,drMIDS
gen200_p0.9_44,dimacs,16,16,ILPS2
gen200_p0.9_44,dimacs,16,16,ILPS3
gen200_p0.9_44,dimacs,16,16,MAE-PB
gen200_p0.9_55,dimacs,16,16,GRASP+PC
gen200_p0.9_55,dimacs,16,16,MEMETIC
gen200_p0.9_55,dimacs,16,16,drMIDS
gen200_p0.9_55,dimacs,16,16,ILPS2
gen200_p0.9_55,dimacs,16,16,ILPS3
gen200_p0.9_55,dimacs,16,16,MAE-PB
gen400_p0.9_55,dimacs,21,21.2,GRASP+PC
gen400_p0.9_55,dimacs,20,20,MEMETIC
gen400_p0.9_55,dimacs,20,20,drMIDS
gen400_p0.9_55,dimacs,20,20.1,ILPS2
gen400_p0.9_55,dimacs,20,20.3,ILPS3
gen400_p0.9_55,dimacs,20,20,MAE-PB
gen400_p0.9_65,dimacs,21,21.1,GRASP+PC
gen400_p0.9_65,dimacs,20,20.1,MEMETIC
gen400_p0.9_65,dimacs,20,20,drMIDS
gen400_p0.9_65,dimacs,20,20.8,ILPS2
gen400_p0.9_65,dimacs,20,20.8,ILPS3
gen400_p0.9_65,dimacs,20,20,MAE-PB
gen400_p0.9_75,dimacs,20,20.4,GRASP+PC
gen400_p0.9_75,dimacs,20,20.3,MEMETIC
gen400_p0.9_75,dimacs,20,20,drMIDS
gen400_p0.9_75,dimacs,20,20.8,ILPS2
gen400_p0.9_75,dimacs,20,20.6,ILPS3
gen400_p0.9_75,dimacs,20,20,MAE-PB
hamming10-4,dimacs,12,12.3,GRASP+PC
hamming10-4,dimacs,12,12,MEMETIC
hamming10-4,dimacs,12,12,drMIDS
hamming10-4,dimacs,12,12,ILPS2
hamming10-4,dimacs,12,12,ILPS3
hamming10-4,dimacs,12,12,MAE-PB
hamming6-2,dimacs,12,12.8,GRASP+PC
hamming6-2,dimacs,12,12,MEMETIC
hamming6-2,dimacs,12,12,drMIDS
hamming6-2,dimacs,12,12,ILPS2
hamming6-2,dimacs,12,12,ILPS3
hamming6-2,dimacs,12,12,MAE-PB
hamming6-4,dimacs,2,2,GRASP+PC
hamming6-4,dimacs,2,2,MEMETIC
hamming6-4,dimacs,2,2,drMIDS
hamming6-4,dimacs,2,2,ILPS2
hamming6-4,dimacs,2,2,ILPS3
hamming6-4,dimacs,2,2,MAE-PB
hamming8-2,dimacs,32,40.1,GRASP+PC
hamming8-2,dimacs,36,43.1,MEMETIC
hamming8-2,dimacs,32,32,drMIDS
hamming8-2,dimacs,36,36,ILPS2
hamming8-2,dimacs,36,36,ILPS3
hamming8-2,dimacs,32,32,MAE-PB
hamming8-4,dimacs,4,4,GRASP+PC
hamming8-4,dimacs,4,4,MEMETIC
hamming8-4,dimacs,4,4,drMIDS
hamming8-4,dimacs,4,4,ILPS2
hamming8-4,dimacs,4,4,ILPS3
hamming8-4,dimacs,4,4,MAE-PB
johnson16-2-4,dimacs,8,8,GRASP+PC
johnson16-2-4,dimacs,8,8,MEMETIC
johnson16-2-4,dimacs,8,8,drMIDS
johnson16-2-4,dimacs,8,8,ILPS2
johnson16-2-4,dimacs,8,8,ILPS3
johnson16-2-4,dimacs,8,8,MAE-PB
johnson32-2-4,dimacs,16,16,GRASP+PC
johnson32-2-4,dimacs,16,16,MEMETIC
johnson32-2-4,dimacs,16,16,drMIDS
johnson32-2-4,dimacs,16,16,ILPS2
johnson32-2-4,dimacs,16,16,ILPS3
johnson32-2-4,dimacs,16,16,MAE-PB
johnson8-2-4,dimacs,4,4,GRASP+PC
johnson8-2-4,dimacs,4,4,MEMETIC
johnson8-2-4,dimacs,4,4,drMIDS
johnson8-2-4,dimacs,4,4,ILPS2
johnson8-2-4,dimacs,4,4,ILPS3
johnson8-2-4,dimacs,4,4,MAE-PB
johnson8-4-4,dimacs,7,7,GRASP+PC
johnson8-4-4,dimacs,7,7,MEMETIC
johnson8-4-4,dimacs,7,7,drMIDS
johnson8-4-4,dimacs,7,7,ILPS2
johnson8-4-4,dimacs,7,7,ILPS3
johnson8-4-4,dimacs,7,7,MAE-PB
keller4,dimacs,5,5,GRASP+PC
keller4,dimacs,5,5,MEMETIC
keller4,dimacs,5,5,drMIDS
keller4,dimacs,5,5,ILPS2
keller4,dimacs,5,5,ILPS3
keller4,dimacs,5,5,MAE-PB
keller5,dimacs,9,9.4,GRASP+PC
keller5,dimacs,9,9,MEMETIC
keller5,dimacs,9,9,drMIDS
keller5,dimacs,9,9,ILPS2
keller5,dimacs,9,9,ILPS3
keller5,dimacs,9,9,MAE-PB
keller6,dimacs,17,17.6,GRASP+PC
keller6,dimacs,17,17.9,MEMETIC
keller6,dimacs,15,17.2,drMIDS
keller6,dimacs,17,18,ILPS2
keller6,dimacs,18,18.3,ILPS3
keller6,dimacs,15,15.1,MAE-PB
MANN_a27,dimacs,27,27,GRASP+PC
MANN_a27,dimacs,27,27,MEMETIC
MANN_a27,dimacs,27,27,drMIDS
MANN_a27,dimacs,27,27,ILPS2
MANN_a27,dimacs,27,27,ILPS3
MANN_a27,dimacs,27,27,MAE-PB
MANN_a45,dimacs,45,45,GRASP+PC
MANN_a45,dimacs,45,45,MEMETIC
MANN_a45,dimacs,45,45,drMIDS
MANN_a45,dimacs,45,45,ILPS2
MANN_a45,dimacs,45,45,ILPS3
MANN_a45,dimacs,45,45,MAE-PB
MANN_a81,dimacs,81,81,GRASP+PC
MANN_a81,dimacs,81,81,MEMETIC
MANN_a81,dimacs,81,81,drMIDS
MANN_a81,dimacs,81,81,ILPS2
MANN_a81,dimacs,81,81,ILPS3
MANN_a81,dimacs,81,81,MAE-PB
MANN_a9,dimacs,9,9,GRASP+PC
MANN_a9,dimacs,9,9,MEMETIC
MANN_a9,dimacs,9,9,drMIDS
MANN_a9,dimacs,9,9,ILPS2
MANN_a9,dimacs,9,9,ILPS3
MANN_a9,dimacs,9,9,MAE-PB
p_hat1500-1,dimacs,13,13.4,GRASP+PC
p_hat1500-1,dimacs,13,13.9,MEMETIC
p_hat1500-1,dimacs,12,12.7,drMIDS
p_hat1500-1,dimacs,13,14.1,ILPS2
p_hat1500-1,dimacs,13,14.3,ILPS3
p_hat1500-1,dimacs,12,12.4,MAE-PB
p_hat1500-2,dimacs,7,8,GRASP+PC
p_hat1500-2,dimacs,7,7.9,MEMETIC
p_hat1500-2,dimacs,7,7.7,drMIDS
p_hat1500-2,dimacs,7,7.7,ILPS2
p_hat1500-2,dimacs,7,7.8,ILPS3
p_hat1500-2,dimacs,7,7.2,MAE-PB
p_hat1500-3,dimacs,3,3,GRASP+PC
p_hat1500-3,dimacs,3,3,MEMETIC
p_hat1500-3,dimacs,3,3,drMIDS
p_hat1500-3,dimacs,3,3.1,ILPS2
p_hat1500-3,dimacs,3,3.3,ILPS3
p_hat1500-3,dimacs,3,3,MAE-PB
p_hat300-1,dimacs,9,9,GRASP+PC
p_hat300-1,dimacs,9,9,MEMETIC
p_hat300-1,dimacs,9,9,drMIDS
p_hat300-1,dimacs,9,9,ILPS2
p_hat300-1,dimacs,9,9,ILPS3
p_hat300-1,dimacs,9,9,MAE-PB
p_hat300-2,dimacs,5,5.1,GRASP+PC
p_hat300-2,dimacs,5,5,MEMETIC
p_hat300-2,dimacs,5,5,drMIDS
p_hat300-2,dimacs,5,5,ILPS2
p_hat300-2,dimacs,5,5,ILPS3
p_hat300-2,dimacs,5,5,MAE-PB
p_hat300-3,dimacs,3,3,GRASP+PC
p_hat300-3,dimacs,3,3,MEMETIC
p_hat300-3,dimacs,3,3,drMIDS
p_hat300-3,dimacs,3,3,ILPS2
p_hat300-3,dimacs,3,3,ILPS3
p_hat300-3,dimacs,3,3,MAE-PB
p_hat700-1,dimacs,11,11,GRASP+PC
p_hat700-1,dimacs,11,11,MEMETIC
p_hat700-1,dimacs,11,11,drMIDS
p_hat700-1,dimacs,11,11,ILPS2
p_hat700-1,dimacs,11,11.2,ILPS3
p_hat700-1,dimacs,11,11,MAE-PB
p_hat700-2,dimacs,6,6.5,GRASP+PC
p_hat700-2,dimacs,6,6.3,MEMETIC
p_hat700-2,dimacs,6,6,drMIDS
p_hat700-2,dimacs,6,6.6,ILPS2
p_hat700-2,dimacs,6,6.4,ILPS3
p_hat700-2,dimacs,6,6,MAE-PB
p_hat700-3,dimacs,3,3,GRASP+PC
p_hat700-3,dimacs,3,3,MEMETIC
